country,time_zone,time_zone_group,station,latitude,longitude,is_city,is_main_station,is_airport
FR,"('Europe/Paris',)",CET,Modane,45.193365,6.658161,False,False,False
FR,"('Europe/Paris',)",CET,Agos,43.033333,-0.066667,False,False,False
FR,"('Europe/Paris',)",CET,Argenton-sur-Creuse,46.583333,1.516667,True,False,False
FR,"('Europe/Paris',)",CET,Argenton-sur-Creuse,46.592248,1.518305,False,True,False
FR,"('Europe/Paris',)",CET,Argenton-sur-Creuse Gare Routiere,46.587009,1.503158,False,False,False
FR,"('Europe/Paris',)",CET,Roye,49.69805004945369,2.789722681045532,False,True,False
FR,"('Europe/Paris',)",CET,Agay,43.4313701,6.8564997,False,False,False
FR,"('Europe/Paris',)",CET,Versailles,48.7526,2.5735,True,False,False
FR,"('Europe/Paris',)",CET,Versailles-Chantiers,48.7958264,2.1358827,False,True,False
FR,"('Europe/Paris',)",CET,Villeneuve-au-Chemin,48.082895,3.844281,False,False,False
FR,"('Europe/Paris',)",CET,Salvagnac,43.916667,1.7,False,False,False
FR,"('Europe/Paris',)",CET,Maussac,45.483333,2.15,False,False,False
FR,"('Europe/Paris',)",CET,Aix-en-Provence TGV,43.455237,5.317534,False,False,False
FR,"('Europe/Paris',)",CET,Mousteru,48.5074512,-3.2435052,False,False,False
FR,"('Europe/Paris',)",CET,Aillevillers,47.9138876,6.3372988,False,False,False
FR,"('Europe/Paris',)",CET,Ailly-sur-Noye,49.75448,2.36419,False,False,False
FR,"('Europe/Paris',)",CET,Ailly-sur-Somme,49.92838,2.20059,False,False,False
FR,"('Europe/Paris',)",CET,Aigues-Vives (Gard),43.733333,4.166667,False,False,False
FR,"('Europe/Paris',)",CET,Aiserey,47.170501,5.1582447,False,False,False
FR,"('Europe/Paris',)",CET,Vicq-sur-Breuilh,45.645578,1.384455,False,False,False
FR,"('Europe/Paris',)",CET,St-Hilaire-Bonneval,45.716667,1.366667,False,False,False
FR,"('Europe/Paris',)",CET,Boisseuil,45.766667,1.316667,False,False,False
FR,"('Europe/Paris',)",CET,Azay-sur-Indre,47.2,0.95,False,False,False
FR,"('Europe/Paris',)",CET,Mouroux,48.8139949,3.0423421,False,False,False
FR,"('Europe/Paris',)",CET,Alet-les-Bains,42.9974445,2.2518325,False,False,False
FR,"('Europe/Paris',)",CET,Allassac,45.2589385,1.4731471,False,False,False
FR,"('Europe/Paris',)",CET,Albens,45.785946,5.9483418,False,False,False
FR,"('Europe/Paris',)",CET,Pierre-Buffiere Ville,45.7,1.35,False,False,False
FR,"('Europe/Paris',)",CET,Aix la Marsalouse,45.614206266734726,2.3984473943710327,False,False,False
FR,"('Europe/Paris',)",CET,La Ferte-sous-Jouarre,48.950741,3.125577,False,False,False
FR,"('Europe/Paris',)",CET,Merten,49.25,6.666667,False,False,False
FR,"('Europe/Paris',)",CET,La Ferte-Milon,49.1797269,3.1207223,False,False,False
FR,"('Europe/Paris',)",CET,Neuilly-St-Front,49.1871466,3.2710249,False,False,False
FR,"('Europe/Paris',)",CET,Oulchy-Breny,49.1876743,3.3524421,False,False,False
FR,"('Europe/Paris',)",CET,Albi Madeleine,43.938011,2.1409629,False,False,False
FR,"('Europe/Paris',)",CET,Amberieu,45.954008,5.342388,False,False,False
FR,"('Europe/Paris',)",CET,Auxon Eglise,48.092235,3.923863,False,True,False
FR,"('Europe/Paris',)",CET,Rehainviller,48.566667,6.466667,False,False,False
FR,"('Europe/Paris',)",CET,St-Pierremont,48.433333,6.583333,False,False,False
FR,"('Europe/Paris',)",CET,Leintrey,48.616667,6.733333,False,False,False
FR,"('Europe/Paris',)",CET,Amenoncourt,48.626383,6.78441,False,False,False
FR,"('Europe/Paris',)",CET,Magnac Bourg,45.61815,1.43097,False,False,False
FR,"('Europe/Paris',)",CET,Aigues-Mortes,43.5709008,4.1912102,False,False,False
FR,"('Europe/Paris',)",CET,Meuzac,45.55,1.433333,False,False,False
FR,"('Europe/Paris',)",CET,Orville,47.55,5.2,False,False,False
FR,"('Europe/Paris',)",CET,Torcenay,47.813425,5.470142,False,False,False
FR,"('Europe/Paris',)",CET,Rosoy-sur-Amance,47.833333,5.533333,False,False,False
FR,"('Europe/Paris',)",CET,Bize,47.833333,5.633333,False,False,False
FR,"('Europe/Paris',)",CET,Anrosey,47.833333,5.666667,False,False,False
FR,"('Europe/Paris',)",CET,Pisseloup,47.833333,5.733333,False,False,False
FR,"('Europe/Paris',)",CET,Betoncourt-sur-Mance,47.830622,5.759083,False,False,False
FR,"('Europe/Paris',)",CET,Vernois-sur-Mance,47.851944,5.794042,False,False,False
FR,"('Europe/Paris',)",CET,Andelot,46.8594671,5.923584,False,False,False
FR,"('Europe/Paris',)",CET,Angers,47.466667,-0.55,True,False,False
FR,"('Europe/Paris',)",CET,Angers Maitre Ecole,47.4670899,-0.531894,False,False,False
FR,"('Europe/Paris',)",CET,Blondefontaine,47.883333,5.866667,False,False,False
FR,"('Europe/Paris',)",CET,Angouleme,45.653572,0.164608,False,False,False
FR,"('Europe/Paris',)",CET,Raincourt,47.859879227409714,5.885946750640868,False,False,False
FR,"('Europe/Paris',)",CET,Gevigney,47.8,5.933333,False,False,False
FR,"('Europe/Paris',)",CET,Baulay,47.783333,6.016667,False,False,False
FR,"('Europe/Paris',)",CET,Amoncourt,47.733333,6.066667,False,False,False
FR,"('Europe/Paris',)",CET,Chaux-les-Port,47.713834,6.03311,False,False,False
FR,"('Europe/Paris',)",CET,Charmoille,47.666667,6.1,False,False,False
FR,"('Europe/Paris',)",CET,Pusey,47.65,6.133333,False,False,False
FR,"('Europe/Paris',)",CET,Martigny-les-Gerbonvaux,48.45,5.8,False,False,False
FR,"('Europe/Paris',)",CET,Autreville,48.483333,5.85,False,False,False
FR,"('Europe/Paris',)",CET,Mont-le-Vignoble,48.616667,5.85,False,False,False
FR,"('Europe/Paris',)",CET,Hestroff,49.266667,6.433333,False,False,False
FR,"('Europe/Paris',)",CET,Vaudreching,49.284483,6.523714,False,False,False
FR,"('Europe/Paris',)",CET,Alzing,49.283333,6.55,False,False,False
FR,"('Europe/Paris',)",CET,Villette,49.474443,5.541571,False,False,False
FR,"('Europe/Paris',)",CET,Colmey-Flabeuville,49.457202,5.555477,False,False,False
FR,"('Europe/Paris',)",CET,Montigny-sur-Chiers,49.483333,5.666667,False,False,False
FR,"('Europe/Paris',)",CET,Lexy,49.5,5.733333,False,True,False
FR,"('Europe/Paris',)",CET,Ingolsheim,48.97402,7.935905,False,False,False
FR,"('Europe/Paris',)",CET,Hertzing,48.683333,6.95,False,False,False
FR,"('Europe/Paris',)",CET,Bebing,48.7,7.0,False,False,False
FR,"('Europe/Paris',)",CET,Drouilly,48.766667,4.516667,False,False,False
FR,"('Europe/Paris',)",CET,Aiguillon,44.2987224,0.3352388,False,False,False
FR,"('Europe/Paris',)",CET,St-Martin-aux-Champs,48.816667,4.483333,False,False,False
FR,"('Europe/Paris',)",CET,Bouilly,48.2,4.0,False,False,False
FR,"('Europe/Paris',)",CET,Chamoy,48.116667,3.966667,False,False,False
FR,"('Europe/Paris',)",CET,Jeugny,48.128443,4.039581,False,False,False
FR,"('Europe/Paris',)",CET,Montigny-les-Monts,48.1,3.95,False,False,False
FR,"('Europe/Paris',)",CET,St-Germain Mairie,48.259911,4.007804,False,False,False
FR,"('Europe/Paris',)",CET,St-Jean-de-Bonneval,48.166667,4.05,False,False,False
FR,"('Europe/Paris',)",CET,St-Phal Monument aux morts,48.116667,4.0,False,False,False
FR,"('Europe/Paris',)",CET,Villery,48.165524,4.023086,False,False,False
FR,"('Europe/Paris',)",CET,Neuvy-Sautour RN,48.033333,3.8,False,False,False
FR,"('Europe/Paris',)",CET,Brienon Mairie,48.0,3.616667,False,False,False
FR,"('Europe/Paris',)",CET,St-Lye,48.366667,4.0,False,False,False
FR,"('Europe/Paris',)",CET,Payns,48.383333,3.966667,False,False,False
FR,"('Europe/Paris',)",CET,Savieres,48.416667,3.95,False,False,False
FR,"('Europe/Paris',)",CET,St-Mesmin,48.45,3.933333,False,False,False
FR,"('Europe/Paris',)",CET,Vallant-St-Georges,48.466168,3.899331,False,False,False
FR,"('Europe/Paris',)",CET,Chatres,48.5,3.85,False,False,False
FR,"('Europe/Paris',)",CET,Maizieres-La Grande-Paroisse,48.516667,3.783333,False,False,False
FR,"('Europe/Paris',)",CET,Romilly-sur-Seine,48.514433,3.728887,False,True,False
FR,"('Europe/Paris',)",CET,Marnay-sur-Seine,48.516667,3.55,False,False,False
FR,"('Europe/Paris',)",CET,Nogent-sur-Seine,48.49783878,3.49372888,False,True,False
FR,"('Europe/Paris',)",CET,Aigueperse,46.0147884,3.1982621,False,False,False
FR,"('Europe/Paris',)",CET,Vendeuvre,48.2400686,4.4672135,False,True,False
FR,"('Europe/Paris',)",CET,Bar-sur-Aube,48.2385399,4.7066708,False,True,False
FR,"('Europe/Paris',)",CET,St-Florentin Hotel de Ville,48.0,3.733333,False,False,False
FR,"('Europe/Paris',)",CET,Laroche-Migennes Hotel Terminus,,,False,False,False
FR,"('Europe/Paris',)",CET,Foug,48.6792561,5.7912761,False,False,False
FR,"('Europe/Paris',)",CET,Fontenoy-sur-Moselle,48.711721,5.9803654,False,False,False
